"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence"
"0100","33.448300","-117.644850",220017
"0100","33.630730","-117.956750",970014
"0100","33.410790","-117.600510",60007
"0100","33.544170","-117.789250",600035
"0100","33.448380","-117.644900",220018
"0100","33.631430","-117.957910",970015
"0100","33.411080","-117.600650",60008
"0100","33.544210","-117.789340",600036
"0100","33.448550","-117.644980",220019
"0100","33.631510","-117.958040",970016
"0100","33.411160","-117.600680",60009
"0100","33.544300","-117.789570",600037
"0100","33.448910","-117.645130",220020
"0100","33.631600","-117.958210",970017
"0100","33.411230","-117.600700",60010
"0100","33.544330","-117.789650",600038
"0100","33.449040","-117.645190",220021
"0100","33.631710","-117.958370",970018
"0100","33.411330","-117.600730",60011
"0100","33.544420","-117.789890",600039
"0100","33.449470","-117.645360",220022
"0100","33.631790","-117.958500",970019
"0100","33.411450","-117.600750",60012
"0100","33.544570","-117.790310",600040
"0100","33.449870","-117.645530",220023
"0100","33.631860","-117.958600",970020
"0100","33.411700","-117.600780",60013
"0100","33.544620","-117.790446",600041
"0100","33.450050","-117.645590",220024
"0100","33.632030","-117.958870",970021
"0100","33.412130","-117.600710",60014
"0100","33.544620","-117.790446",610001
"0100","33.450130","-117.645620",220025
"0100","33.632200","-117.959140",970022
"0100","33.412260","-117.600690",60015
"0100","33.544640","-117.790500",610002
"0100","33.450210","-117.645640",220026
"0100","33.632500","-117.959580",970023
"0100","33.412440","-117.600650",60016
"0100","33.544800","-117.790940",610003
"0100","33.450330","-117.645650",220027
"0100","33.632670","-117.959840",970024
"0100","33.412550","-117.600630",60017
"0100","33.544940","-117.791330",610004
"0100","33.450440","-117.645650",220028
"0100","33.632860","-117.960150",970025
"0100","33.412810","-117.600570",60018
"0100","33.544970","-117.791420",610005
"0100","33.450510","-117.645640",220029
"0100","33.633120","-117.960580",970026
"0100","33.413000","-117.600530",60019
"0100","33.545100","-117.791770",610006
"0100","33.450590","-117.645620",220030
"0100","33.633520","-117.961240",970027
"0100","33.413090","-117.600510",60020
"0100","33.545150","-117.791920",610007
"0100","33.450680","-117.645590",220031
"0100","33.633860","-117.961820",970028
"0100","33.413246","-117.600479",60021
"0100","33.545223","-117.792108",610008
"0100","33.450750","-117.645570",220032
"0100","33.634220","-117.962400",970029
"0100","33.413246","-117.600479",70001
"0100","33.545223","-117.792108",620001
"0100","33.450810","-117.645550",220033
"0100","33.634370","-117.962650",970030
"0100","33.413290","-117.600470",70002
"0100","33.545270","-117.792230",620002
"0100","33.450850","-117.645530",220034
"0100","33.634610","-117.963030",970031
"0100","33.413530","-117.600420",70003
"0100","33.545860","-117.793810",620003
"0100","33.450890","-117.645510",220035
"0100","33.634690","-117.963150",970032
"0100","33.413730","-117.600380",70004
"0100","33.545990","-117.794090",620004
"0100","33.450920","-117.645490",220036
"0100","33.634770","-117.963280",970033
"0100","33.413890","-117.600350",70005
"0100","33.546010","-117.794130",620005
"0100","33.450960","-117.645460",220037
"0100","33.635090","-117.963800",970034
"0100","33.414030","-117.600340",70006
"0100","33.546160","-117.794390",620006
"0100","33.451150","-117.645290",220038
"0100","33.635290","-117.964110",970035
"0100","33.414130","-117.600330",70007
"0100","33.546230","-117.794490",620007
"0100","33.451230","-117.645230",220039
"0100","33.635440","-117.964370",970036
"0100","33.414240","-117.600320",70008
"0100","33.546430","-117.794790",620008
"0100","33.451410","-117.645060",220040
"0100","33.635623","-117.964685",970037
"0100","33.414260","-117.600320",70009
"0100","33.546590","-117.795060",620009
"0100","33.451550","-117.644930",220041
"0100","33.635623","-117.964685",980001
"0100","33.414530","-117.600350",70010
"0100","33.546680","-117.795230",620010
"0100","33.451840","-117.644650",220042
"0100","33.635830","-117.965040",980002
"0100","33.414800","-117.600450",70011
"0100","33.546770","-117.795470",620011
"0100","33.452030","-117.644440",220043
"0100","33.636000","-117.965330",980003
"0100","33.415000","-117.600520",70012
"0100","33.546940","-117.795970",620012
"0100","33.452160","-117.644280",220044
"0100","33.636070","-117.965440",980004
"0100","33.415090","-117.600580",70013
"0100","33.546990","-117.796120",620013
"0100","33.452670","-117.643750",220045
"0100","33.636240","-117.965730",980005
"0100","33.415210","-117.600670",70014
"0100","33.547060","-117.796320",620014
"0100","33.452850","-117.643600",220046
"0100","33.636340","-117.965890",980006
"0100","33.415280","-117.600720",70015
"0100","33.547090","-117.796420",620015
"0100","33.453090","-117.643400",220047
"0100","33.636610","-117.966410",980007
"0100","33.415470","-117.600860",70016
"0100","33.547110","-117.796490",620016
"0100","33.453390","-117.643100",220048
"0100","33.636890","-117.966980",980008
"0100","33.415840","-117.601170",70017
"0100","33.547220","-117.796840",620017
"0100","33.453660","-117.642850",220049
"0100","33.637080","-117.967370",980009
"0100","33.415970","-117.601280",70018
"0100","33.547320","-117.797140",620018
"0100","33.453950","-117.642580",220050
"0100","33.637180","-117.967590",980010
"0100","33.416137","-117.601418",70019
"0100","33.547510","-117.797680",620019
"0100","33.454190","-117.642370",220051
"0100","33.637370","-117.968010",980011
"0100","33.416137","-117.601418",80001
"0100","33.547580","-117.797885",620020
"0100","33.454230","-117.642340",220052
"0100","33.637740","-117.968910",980012
"0100","33.416560","-117.601770",80002
"0100","33.547580","-117.797885",630001
"0100","33.454322","-117.642265",220053
"0100","33.638370","-117.970440",980013
"0100","33.416860","-117.602020",80003
"0100","33.547800","-117.798530",630002
"0100","33.454322","-117.642265",230001
"0100","33.638810","-117.971500",980014
"0100","33.417140","-117.602270",80004
"0100","33.548120","-117.799410",630003
"0100","33.454400","-117.642200",230002
"0100","33.638990","-117.971890",980015
"0100","33.417350","-117.602550",80005
"0100","33.548360","-117.800090",630004
"0100","33.454770","-117.641980",230003
"0100","33.639070","-117.972070",980016
"0100","33.417490","-117.602790",80006
"0100","33.548400","-117.800220",630005
"0100","33.455140","-117.641770",230004
"0100","33.639250","-117.972410",980017
"0100","33.417630","-117.603090",80007
"0100","33.548540","-117.800620",630006
"0100","33.455420","-117.641610",230005
"0100","33.639450","-117.972810",980018
"0100","33.417740","-117.603320",80008
"0100","33.548630","-117.800870",630007
"0100","33.455710","-117.641440",230006
"0100","33.639870","-117.973580",980019
"0100","33.417810","-117.603470",80009
"0100","33.548710","-117.801080",630008
"0100","33.455930","-117.641350",230007
"0100","33.640195","-117.974134",980020
"0100","33.417880","-117.603620",80010
"0100","33.548800","-117.801330",630009
"0100","33.456060","-117.641310",230008
"0100","33.640195","-117.974134",990001
"0100","33.417990","-117.603850",80011
"0100","33.548824","-117.801400",630010
"0100","33.456180","-117.641320",230009
"0100","33.640380","-117.974450",990002
"0100","33.418040","-117.603950",80012
"0100","33.548824","-117.801400",640001
"0100","33.456300","-117.641340",230010
"0100","33.640420","-117.974520",990003
"0100","33.418053","-117.603973",80013
"0100","33.548910","-117.801650",640002
"0100","33.456410","-117.641380",230011
"0100","33.640540","-117.974730",990004
"0100","33.418053","-117.603973",90001
"0100","33.549010","-117.801920",640003
"0100","33.456590","-117.641540",230012
"0100","33.640610","-117.974870",990005
"0100","33.418230","-117.604310",90002
"0100","33.549150","-117.802340",640004
"0100","33.456660","-117.641600",230013
"0100","33.640660","-117.974950",990006
"0100","33.418420","-117.604620",90003
"0100","33.549420","-117.802960",640005
"0100","33.456740","-117.641730",230014
"0100","33.640880","-117.975330",990007
"0100","33.418470","-117.604720",90004
"0100","33.549520","-117.803190",640006
"0100","33.456783","-117.641815",230015
"0100","33.641050","-117.975620",990008
"0100","33.418520","-117.604850",90005
"0100","33.549640","-117.803450",640007
"0100","33.456783","-117.641815",240001
"0100","33.641340","-117.976130",990009
"0100","33.418610","-117.605080",90006
"0100","33.549680","-117.803540",640008
"0100","33.456830","-117.641910",240002
"0100","33.641840","-117.977010",990010
"0100","33.418680","-117.605270",90007
"0100","33.549750","-117.803690",640009
"0100","33.456870","-117.642020",240003
"0100","33.642510","-117.978140",990011
"0100","33.418740","-117.605440",90008
"0100","33.549920","-117.804050",640010
"0100","33.456960","-117.642230",240004
"0100","33.643420","-117.979730",990012
"0100","33.418880","-117.605740",90009
"0100","33.550040","-117.804270",640011
"0100","33.457010","-117.642350",240005
"0100","33.643650","-117.980140",990013
"0100","33.418950","-117.605880",90010
"0100","33.550130","-117.804410",640012
"0100","33.457060","-117.642460",240006
"0100","33.643710","-117.980240",990014
"0100","33.419040","-117.606040",90011
"0100","33.550210","-117.804520",640013
"0100","33.457120","-117.642600",240007
"0100","33.643820","-117.980440",990015
"0100","33.419230","-117.606370",90012
"0100","33.550260","-117.804590",640014
"0100","33.457240","-117.642870",240008
"0100","33.644270","-117.981210",990016
"0100","33.419300","-117.606470",90013
"0100","33.550460","-117.804820",640015
"0100","33.457250","-117.642890",240009
"0100","33.644430","-117.981340",990017
"0100","33.419400","-117.606630",90014
"0100","33.550560","-117.804950",640016
"0100","33.457340","-117.643130",240010
"0100","33.644520","-117.981450",990018
"0100","33.419480","-117.606750",90015
"0100","33.550690","-117.805080",640017
"0100","33.457440","-117.643340",240011
"0100","33.644610","-117.981590",990019
"0100","33.419516","-117.606801",90016
"0100","33.550840","-117.805200",640018
"0100","33.457486","-117.643436",240012
"0100","33.644643","-117.981651",990020
"0100","33.419516","-117.606801",100001
"0100","33.551180","-117.805410",640019
"0100","33.457486","-117.643436",250001
"0100","33.644643","-117.981651",1000001
"0100","33.419600","-117.606920",100002
"0100","33.551290","-117.805470",640020
"0100","33.457530","-117.643530",250002
"0100","33.644740","-117.981830",1000002
"0100","33.419720","-117.607060",100003
"0100","33.551490","-117.805580",640021
"0100","33.457640","-117.643840",250003
"0100","33.645380","-117.982960",1000003
"0100","33.419850","-117.607200",100004
"0100","33.551800","-117.805790",640022
"0100","33.457460","-117.644050",250004
"0100","33.645420","-117.983040",1000004
"0100","33.420090","-117.607450",100005
"0100","33.552030","-117.805990",640023
"0100","33.457280","-117.644260",250005
"0100","33.645830","-117.983750",1000005
"0100","33.420380","-117.607690",100006
"0100","33.552220","-117.806180",640024
"0100","33.457090","-117.644510",250006
"0100","33.645890","-117.983850",1000006
"0100","33.420470","-117.607750",100007
"0100","33.552420","-117.806430",640025
"0100","33.456970","-117.644730",250007
"0100","33.646030","-117.984080",1000007
"0100","33.420530","-117.607800",100008
"0100","33.552620","-117.806760",640026
"0100","33.456910","-117.644870",250008
"0100","33.646220","-117.984380",1000008
"0100","33.420720","-117.607930",100009
"0100","33.552720","-117.806960",640027
"0100","33.456900","-117.644890",250009
"0100","33.646480","-117.984810",1000009
"0100","33.420930","-117.608040",100010
"0100","33.552830","-117.807210",640028
"0100","33.456840","-117.645070",250010
"0100","33.646540","-117.984910",1000010
"0100","33.421100","-117.608130",100011
"0100","33.552880","-117.807330",640029
"0100","33.456800","-117.645200",250011
"0100","33.647070","-117.985730",1000011
"0100","33.421140","-117.608151",100012
"0100","33.552960","-117.807640",640030
"0100","33.456750","-117.645570",250012
"0100","33.647160","-117.985890",1000012
"0100","33.421140","-117.608151",110001
"0100","33.552980","-117.807740",640031
"0100","33.456740","-117.645830",250013
"0100","33.647260","-117.986060",1000013
"0100","33.421250","-117.608210",110002
"0100","33.553010","-117.807900",640032
"0100","33.456760","-117.646090",250014
"0100","33.647530","-117.986480",1000014
"0100","33.421520","-117.608360",110003
"0100","33.553040","-117.808080",640033
"0100","33.456810","-117.646300",250015
"0100","33.647910","-117.987060",1000015
"0100","33.421690","-117.608450",110004
"0100","33.553050","-117.808200",640034
"0100","33.456850","-117.646490",250016
"0100","33.648050","-117.987280",1000016
"0100","33.422030","-117.608660",110005
"0100","33.553060","-117.808270",640035
"0100","33.456930","-117.646830",250017
"0100","33.648510","-117.988000",1000017
"0100","33.422090","-117.608690",110006
"0100","33.553078","-117.808610",640036
"0100","33.457033","-117.647251",250018
"0100","33.648620","-117.988160",1000018
"0100","33.422190","-117.608740",110007
"0100","33.553078","-117.808610",650001
"0100","33.457033","-117.647251",260001
"0100","33.648750","-117.988350",1000019
"0100","33.422430","-117.608870",110008
"0100","33.553080","-117.808650",650002
"0100","33.457050","-117.647320",260002
"0100","33.649030","-117.988790",1000020
"0100","33.422632","-117.608979",110009
"0100","33.553100","-117.808870",650003
"0100","33.457150","-117.647760",260003
"0100","33.649160","-117.988990",1000021
"0100","33.422632","-117.608979",120001
"0100","33.553120","-117.809150",650004
"0100","33.457190","-117.647950",260004
"0100","33.649187","-117.989034",1000022
"0100","33.422800","-117.609070",120002
"0100","33.553130","-117.809230",650005
"0100","33.457340","-117.648600",260005
